Date,Open,High,Low,Close
6/29/1987,307.149994,308.149994,306.75,307.899994
6/30/1987,307.890015,308,303.01001,304
7/1/1987,303.98999,304,302.529999,302.940002
7/2/1987,302.959991,306.339996,302.940002,305.630005
7/6/1987,305.640015,306.75,304.230011,304.920013
7/7/1987,304.910004,308.630005,304.730011,307.399994
7/8/1987,307.410004,308.480011,306.01001,308.290009
7/9/1987,308.299988,309.559998,307.420013,307.519989
7/10/1987,307.549988,308.399994,306.959991,308.369995
7/13/1987,308.410004,308.410004,305.48999,307.630005
7/14/1987,307.670013,310.690002,307.459991,310.679993
7/15/1987,310.670013,312.079987,309.070007,310.420013
7/16/1987,311,312.829987,310.420013,312.700012
7/17/1987,312.709991,314.589996,312.380005,314.589996
7/20/1987,314.559998,314.589996,311.23999,311.390015
7/21/1987,311.359985,312.410004,307.51001,308.549988
7/22/1987,308.559998,309.119995,307.220001,308.470001
7/23/1987,308.5,309.630005,306.100006,307.809998
7/24/1987,307.820007,309.279999,307.779999,309.269989
7/27/1987,309.299988,310.700012,308.609985,310.649994
7/28/1987,310.649994,312.329987,310.279999,312.329987
7/29/1987,312.339996,315.649994,311.730011,315.649994
7/30/1987,315.690002,318.529999,315.649994,318.049988
7/31/1987,318.049988,318.850006,317.559998,318.660004
8/3/1987,318.619995,320.26001,316.519989,317.570007
8/4/1987,317.589996,318.25,314.51001,316.230011
8/5/1987,316.25,319.73999,316.230011,318.450012
8/6/1987,318.48999,322.089996,317.5,322.089996
8/7/1987,322.100006,324.149994,321.820007,323
8/10/1987,322.980011,328,322.950012,328
8/11/1987,328.019989,333.399994,328,333.329987
8/12/1987,333.320007,334.570007,331.059998,332.390015
8/13/1987,332.380005,335.519989,332.380005,334.649994
8/14/1987,334.630005,336.079987,332.630005,333.98999
8/17/1987,333.980011,335.429993,332.880005,334.109985
8/18/1987,334.100006,334.109985,326.429993,329.25
8/19/1987,329.26001,329.890015,326.540009,329.829987
8/20/1987,331.48999,335.190002,329.829987,334.839996
8/21/1987,334.850006,336.369995,334.299988,335.899994
8/24/1987,335.890015,335.899994,331.920013,333.329987
8/25/1987,333.369995,337.890015,333.329987,336.769989
8/26/1987,336.769989,337.390015,334.459991,334.570007
8/27/1987,334.559998,334.570007,331.100006,331.380005
8/28/1987,331.369995,331.380005,327.029999,327.040009
8/31/1987,327.029999,330.089996,326.98999,329.799988
9/1/1987,329.809998,332.179993,322.829987,323.399994
9/2/1987,323.399994,324.529999,318.76001,321.679993
9/3/1987,321.470001,324.290009,317.390015,320.209991
9/4/1987,320.209991,322.029999,316.529999,316.700012
9/8/1987,316.679993,316.700012,308.559998,313.559998
9/9/1987,313.600006,315.410004,312.290009,313.920013
9/10/1987,313.920013,317.589996,313.920013,317.130005
9/11/1987,317.140015,322.450012,317.130005,321.980011
9/14/1987,322.019989,323.809998,320.399994,323.079987
9/15/1987,323.070007,323.079987,317.630005,317.73999
9/16/1987,317.75,319.5,314.609985,314.859985
9/17/1987,314.940002,316.079987,313.450012,314.929993
9/18/1987,314.980011,316.98999,314.859985,314.859985
9/21/1987,314.920013,317.660004,310.119995,310.540009
9/22/1987,310.540009,319.51001,308.690002,319.5
9/23/1987,319.48999,321.829987,319.119995,321.190002
9/24/1987,321.089996,322.01001,319.119995,319.720001
9/25/1987,319.720001,320.549988,318.100006,320.160004
9/28/1987,320.160004,325.329987,320.160004,323.200012
9/29/1987,323.200012,324.630005,320.269989,321.690002
9/30/1987,321.690002,322.529999,320.160004,321.829987
10/1/1987,321.829987,327.339996,321.829987,327.329987
10/2/1987,327.329987,328.940002,327.220001,328.070007
10/5/1987,328.070007,328.570007,326.089996,328.079987
10/6/1987,328.079987,328.079987,319.170013,319.220001
10/7/1987,319.220001,319.390015,315.779999,318.540009
10/8/1987,318.540009,319.339996,312.019989,314.160004
10/9/1987,314.160004,315.040009,310.970001,311.070007
10/12/1987,311.070007,311.070007,306.76001,309.390015
10/13/1987,309.390015,314.529999,309.390015,314.519989
10/14/1987,314.519989,314.519989,304.779999,305.230011
